Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
1.4	24	3M 9542	132	51	87	34	48	24	19	21	24	7.8	16	27		Tester_FTTP_AM	2023_06_29	2	Crash2	1	KN95	H
0.7	5.1	3M AFFM	48	3.6	4.9	5.9	4.8	6.7	6.5	2.9	5.3	5.5	4	4.6	S-hook used	Tester_FTTP_AF	2023_10_28	2.5	Crash2.5	1	ASTM F3502-21	SingleHeadbandEarsaver
0.6	3.7	3M AFFM	59	4.9	7.6	5.8	2.7	3.6	3.1	3	3.2	3	2.5	2.6	S-hook used	Tester_FTTP_AF	2023_10_28	2.5	Crash2.5	1	ASTM F3502-21	SingleHeadbandEarsaver
0.7	4.8	3M AFFM	9.4	16	9.4	7.4	6.1	4.6	4.2	14	12	2.5	1.9	2.6		Tester_FTTP_AM	2023_03_02		Crash	1	ASTM F3502-21	SingleHeadbandEarsaver
0.4	2.8	3M AFFM	7.4	7.8	4.1	3	2.9	2.4	2.8	1.6	2.2	2.8	1.9	2.8	S-hook used	Tester_FTTP_AM	2023_10_28	2.5	Crash2.5	1	ASTM F3502-21	SingleHeadbandEarsaver
2.7	531.5	3M Aura 1863	957	493	507	567	1460	724	879	527	865	1040	450	158	(not plus, actual historical sample)	Tester_FTTP_AM	2023_04_14		Crash	1	FFP3	H
2.6	419.6	3M Aura 1863	418	319	565	650	365	673	483	590	398	588	380	203	(not plus, actual historical sample)	Tester_FTTP_AM	2023_04_14		Crash	1	FFP3	H
2.6	382.6	3M Aura 1863+	661	303	373	412	375	230	736						Both straps overhead, not stapled at chin, test 4	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.5	331.4	3M Aura 1863+	646	410	475	202	259	214	648						Both straps overhead, not stapled at chin, test 3	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.5	301.2	3M Aura 1863+	532	283	332	195	248	322	392						Both straps overhead, not stapled at chin, test 5	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.3	214.5	3M Aura 1863+	390	294	189	136	200	177	296						Straps overhead, not stapled, test 2	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.3	192.5	3M Aura 1863+	266	253	228	164	199	110	247						Straps overhead, not stapled, test 1	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.5	346.5	3M Aura 1863+	456	372	423	482	197	304	397						Test 2	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.5	282.2	3M Aura 1863+	400	268	370	445	130	285	413						Test 1	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	FFP3	H
2.7	508.6	3M Aura 1863+	596	631	475	488	560	500	536	485	490	461	437			Tester_FTTP_AF	2023_01_11			1	FFP3	H
2.9	714.5	3M Aura 1863+	718	585	1010	797	738	1330	713	718	944	628	555	478		Tester_FTTP_AM			CrashUM	1	FFP3	H
2.8	673.1	3M Aura 1863+	964	1220	1230	289	1380	990	807	923	604	278	755	940		Tester_FTTP_AM	2023_04_15		Crash	1	FFP3	H
2.8	605.1	3M Aura 1863+	743	497	727	723	698	515	743	952	875	540	404	404		Tester_FTTP_AM	2023_01_30		Crash	1	FFP3	H
2.8	597.4	3M Aura 1863+	877	625	623	586	743	700	411	697	424	544	668	589	candles 1E6	Tester_FTTP_AM	2023_03_17		Crash	1	FFP3	H
2.8	581.3	3M Aura 1863+	1184	925	572	797	679	678	338	502	353	554	652	608		Tester_FTTP_AM	2023_01_15		CrashUM	1	FFP3	H
2.7	519.1	3M Aura 1863+	481	383	318	446	951	866	279	1010	804	610	889	444		Tester_FTTP_AM	2023_01_04		CrashUM	1	FFP3	H
2.7	514.4	3M Aura 1863+	454	1220	570	677	227	323	362	674	786	868	681	697		Tester_FTTP_AM			CrashUM	1	FFP3	H
2.7	512.4	3M Aura 1863+	1420	451	677	487	642	614	793	909	133	843	577	1020		Tester_FTTP_AM	2023_02_26		Crash	1	FFP3	H
2.6	394.5	3M Aura 1863+	552	436	189	461	596	232	360	468	453	598	574	430		Tester_FTTP_AM			CrashUM	1	FFP3	H
2.6	357.7	3M Aura 1863+	1060	1220	680	568	419	529	319	125	308	255	252	499		Tester_FTTP_AM	2023_04_15		Crash	1	FFP3	H
2.5	354.3	3M Aura 1863+	284	275	369	519	336	613	563	400	492	415	171	345	control mask#512	Tester_FTTP_AM	2022_12_28		CrashUM	1	FFP3	H
2.4	271.9	3M Aura 1863+	254	377	219	414	141	331	339	241	241	292	341	351		Tester_FTTP_AM	2022_11_17		CrashUM	1	FFP3	H
2.4	236.4	3M Aura 1863+	293	181	355	136	490								candles 1E6	Tester_FTTP_AM	2023_03_20		Crash	1	FFP3	H
2.3	210.5	3M Aura 1863+	111	324	114	315	315	469	410	197	190	200	217	190		Tester_FTTP_AM			CrashUM	1	FFP3	H
2.3	208.4	3M Aura 1863+	196	269	184	133	262	248	241	210	229	196	216	202	Tester_FTTP_AM standing and shoe-tying challenge test	Tester_FTTP_AM	2023_01_13		CrashUM	1	FFP3	H
2	97.6	3M Aura 1863+	71	175	101	118	108	92	99	80	66	139	106	98	USED 8 hours	Tester_FTTP_AM	2023_04_07		Crash	1	FFP3	H
2	96.3	3M Aura 1863+	110	112	144	112	128	101	137	85	83	81	94	53	5 hours used	Tester_FTTP_AM	2023_04_15		Crash	1	FFP3	H
1.9	84.8	3M Aura 1863+	221	98	54	63	82	64	124	66	93	91	116	91	USED 8 hours	Tester_FTTP_AM	2023_04_07		Crash	1	FFP3	H
2.7	512.1	3M Aura 1863+	527	551	542	698	544	544	421	466	510	429	502	510		Tester_NOMS_AM	2023_07_19	2	CrashFTTP-like, improvised spacers	1	FFP3	H
2.6	445.3	3M Aura 1863+	398	453	496	358	591	462	703	529	387	641	308	350		Tester_NOMS_AM	2023_07_02	2	CrashFTTP-like, improvised spacers	1	FFP3	H
2.6	417.1	3M Aura 1863+	717	358	594	510	336	423	419	211	536	499	375	516		Tester_NOMS_AM	2023_08_06	2	CrashFTTP-like, improvised spacers	1	FFP3	H
2.6	370.4	3M Aura 1863+	428	330	397	363	350	350	320	416	394	389	354	387	Re-form wire	Tester_NOMS_AM	2023_07_23	2	CrashFTTP-like, improvised spacers	1	FFP3	H
2.3	213.1	3M Aura 1863+	136	191	248	193	277	174	173	311	241	213	315	241	Straps felt loose	Tester_NOMS_AM	2023_08_21	2	CrashFTTP-like, improvised spacers	1	FFP3	H
2.3	186	3M Aura 1863+	300	180	170	230	226	198	183	193	181	208	128	140		Tester_NOMS_AM	2023_07_23	2	CrashFTTP-like, improvised spacers	1	FFP3	H
2.2	174.1	3M Aura 1870+	381	74	468	478	83	447	316	102	438	460	69	428		Tester_CA	2023_06_21			1	N95	H
2.4	231.7	3M Aura 1870+	252	168	328	355	313	499	224	220	103	375	195	233		Tester_FTTP_AM			CrashUM	1	N95	H
2.3	181	3M Aura 1870+	196	342	167	270	213	263	283	272	256	80	98	160		Tester_FTTP_AM			CrashUM	1	N95	H
2.2	165.2	3M Aura 1870+	178	184	161	174	201	174	192	169	235	76	245	159		Tester_FTTP_AM			CrashUM	1	N95	H
2.2	148.2	3M Aura 1870+	181	187	77	189	176	160	219	119	91	118	304	239		Tester_FTTP_AM	2022_12_19		CrashUM	1	N95	H
2.1	124.9	3M Aura 1870+	546	33	401	185	170	125	154	132	119	130	152	184		Tester_FTTP_AM	2023_04_10		Crash	1	N95	H
2.1	118.8	3M Aura 1870+	124	135	121	180	146	94	118	114	90	110	107	134		Tester_FTTP_AM			CrashUM	1	N95	H
1.8	60	3M Aura 1870+	241	325	172	13	15	68	126	228	272	221	556	159	experimental stress test chew	Tester_FTTP_AM			CrashUM	1	N95	H
1.9	79.2	3M Aura 1870+	88	64	85	85									CSA Z94.4-2011 Accufit9000	Tester_IANW_AM	2023_07_28		CSA	1	N95	H
1.9	74.4	3M Aura 1870+	101	106	69	81	87	84	36	98					OSHA 8-test	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	N95	H
1.3	17.8	3M Aura 1870+	197	146	35	106	51	8.5	7.5	7.8					OSHA 8-test	Tester_JG97_AM	2023_07_14		OSHA plus grimace	1	N95	H
2.6	375.6	3M Aura 1870+	450	228	662	362	209	405	809	244	733	447	293	684		Tester_NOMS	2023_08_07		Crash	1	N95	H
2.6	366.4	3M Aura 1870+	705	366	876	226	317	273	454	307	310	339	403	476		Tester_NOMS	2023_07_22		Crash	1	N95	H
2.6	365.1	3M Aura 1870+	407	272	545	479	315	384	591	281	424	445	206	430		Tester_NOMS	2023_07_21		Crash	1	N95	H
2.4	246.6	3M Aura 1870+	195	186	303	290	194	292	227	310	299	218	200	443		Tester_NOMS	2023_08_07		Crash	1	N95	H
2.2	171.5	3M Aura 1870+	146	143	104	189	165	234	244	163	231	184	137	280		Tester_NOMS	2023_08_07	2	Crash2.0	1	N95	H
2.1	132.2	3M Aura 9205+	157	110	323	182	87	89	162						Battered and sweaty, worn during workouts, then dried	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.1	124.9	3M Aura 9205+	158	123	130			93	140						Battered and sweaty, worn during workouts, then dried	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.1	123	3M Aura 9205+	338	116	126	95	79	124	163						Mask 1	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2	96.2	3M Aura 9205+	100	93	102	106	85	77	125						Used, slightly sweated in, and has stayed out for > 1 month after use (test2 )	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
1.9	75.7	3M Aura 9205+	130	97	102	70	35	71	130						Used, slightly sweated in, and has stayed out for > 1 month after use	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
1.9	74.9	3M Aura 9205+	111	77	64	33	131	103	122						Battered and sweaty, worn during workouts, then dried, test 2	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.2	158.2	3M Aura 9205+	179	203	227	240	57	298	235							Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.2	143.5	3M Aura 9205+	234	143	195	287	63	155	152						Sweaty - at 1 hour of heavy exercise	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.1	138.6	3M Aura 9205+	380	122	453	280	41	182	249						Mask 3	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.1	118.4	3M Aura 9205+	150	123	176	175	75	100	104						Mask 2, test 3	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.1	117	3M Aura 9205+	196	104	148	155	54	114	217						Mask 2 test 1	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2	96.4	3M Aura 9205+	229	95	191	116	34	116	172						Mask 2 test 2	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
1.8	68.5	3M Aura 9205+	117	75	83	71	40								3m 9205 amazon purchased, doubts that fake, new, Mask 2	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
1.7	49.4	3M Aura 9205+	186	149	113	127	64	13							3m 9205 amazon purchased, doubts that fake, new, Mask 1	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
0.7	4.7	3M Aura 9205+	2.2	7.2	3.7	6.4	12	2.8	4.6	12	5.5	4.8	10	3.1		Tester_0022_AF	2023_11_25	2.5	Crash2.5	1	N95	H
2.7	561.8	3M Aura 9205+	583	605	673	689	723	568	642	572	524	762	289	520	CrashUM Pass 2	Tester_0027	2023_11_18		CrashUM	1		
2.7	507.1	3M Aura 9205+	832	502	559	530	245	679	724							Tester_0028	2023_04_11		CSA Z94.4-2018	1	N95	H
2	92.1	3M Aura 9205+	70	59	130	199	97									Tester_CA_11M_N	2023_06_01			1	N95	H
2.1	131.4	3M Aura 9205+	73	64	283	397	375									Tester_CA_AF	2023_10_10		CrashUMshort	1	N95	H
1.9	86.2	3M Aura 9205+	66	64	105	261	72									Tester_CA_AF_J	2023_06_01		CrashUMshort	1	N95	H
2.1	133.4	3M Aura 9205+	72	56	536	519	512									Tester_CA_AM_R	2023_06_01		CrashUMshort	1	N95	H
2.6	378.2	3M Aura 9205+	425	269	489	459	406	365	239	216	518	328	867	777		Tester_FTTP_AM			CrashUM	1	N95	H
2.3	197.3	3M Aura 9205+	392	380	344	138	189	83	115	324	461	273	358	129		Tester_FTTP_AM			CrashUM	1	N95	H
2.3	182.3	3M Aura 9205+	542	685	503	722	250	449	502	79	93	118	128	89	lightly used	Tester_FTTP_AM			CrashUM	1	N95	H
1.5	35.4	3M Aura 9205+	62	72	25	13	31	66	61	66					OSHA 8-test	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	N95	H
2.1	129.2	3M Aura 9205+	501	210	77	161	148	110	124	83					OSHA 8-test	Tester_JG97_AM	2023_07_14		OSHA plus grimace	1	N95	H
2.6	416.6	3M Aura 9205+	758	353	302	476	343	439	313	386	685	1090	394	299		Tester_NOMS	2023_07_19		Crash	1	N95	H
2.4	243.9	3M Aura 9205+	357	271	304	444	208	231	496	364	228	101	248	202		Tester_NOMS	2023_07_30		Crash	1	N95	H
2.4	234.1	3M Aura 9205+	588	297	678	373	377	501	279	270	44	450	294	573		Tester_NOMS	2023_07_14		Crash	1	N95	H
2.2	152.3	3M Aura 9205+	453	106	232	259	160	97	180	120	145	147	112	169		Tester_NOMS	2023_08_07	2	Crash2.0	1	N95	H
2.9	853.9	3M Aura 9205+	672	757	909	1700	1050	932	644	794	2320	1380	340	1610		Tester_NOMS_AM	2023_07_12	2	CrashFTTP-like, improvised spacers	1	N95	H
2.9	783.3	3M Aura 9205+	692	737	1200	1000	661	1250	1080	518	1350	904	345	1300	Re-form wire	Tester_NOMS_AM	2023_07_31	2	CrashFTTP-like, improvised spacers	1	N95	H
2.9	753.8	3M Aura 9205+	661	1000	689	838	614	918	549	686	1560	1330	415	1040		Tester_NOMS_AM	2023_07_21	2	CrashFTTP-like, improvised spacers	1	N95	H
2.7	502.1	3M Aura 9205+	341	405	324	318	574	689	591	545	648	941	573	836		Tester_NOMS_AM	2023_07_18	2	CrashFTTP-like, improvised spacers	1	N95	H
2.6	431.1	3M Aura 9205+	399	487	449	409	562	367	446	372	410	441	605	356		Tester_NOMS_AM	2023_07_20	2	CrashFTTP-like, improvised spacers	1	N95	H
2.5	300.2	3M Aura 9205+	260	648	335	239	371	300	266	432	245	201	440	251	Nose leak	Tester_NOMS_AM	2023_07_31	2	CrashFTTP-like, improvised spacers	1	N95	H
2.1	137.7	3M Aura 9210	131	291	130	140	106	199	125	241	153	91	116	118	(9210 NOT PLUS, the old version)	Tester_FTTP_AM			CrashUM	1	N95	H
2.3	201.3	3M Aura 9210+	354	151	248	229	158	170	212						Mask 2, same pack, stapled test 1	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.3	179.7	3M Aura 9210+	335	108	300	223	107	182	247						Mask 3, same pack, stapled, test 1	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.1	128.6	3M Aura 9210+	240	69	184	219	107	111	135						Mask 1, stapled at chin	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
1.9	88.8	3M Aura 9210+	120	119	95	84	104	58	78						Mask 1, not stapled	Tester_0020_AF	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.4	227.1	3M Aura 9210+	670	133	561	340	80	384	503						Mask 3, test 1	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.4	226	3M Aura 9210+	596	228	416	387	84	281	224						Mask 2, test 2	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
2.3	205.9	3M Aura 9210+	661	152	547	479	61	282	487						Mask 2, test 1	Tester_0021_AM	2023_08_27		OSHA 29CFR1910.134 NNC	1	N95	H
3.3	2075.8	3M Aura 9210+	825	1370	1410	2040	1620	3110	2790	2820	4010	3600	3540	5620		Tester_0026	2023_12_02	2.5	Crash2.5	1	N95	H
3.2	1558	3M Aura 9210+	1130	2420	1610	1290	2020	1660	1880	2260	1790	1000	2260	1070		Tester_0026	2023_12_07	2.5	Crash2.5	1		H
3	923.3	3M Aura 9210+	866	1500	1460	2530	1950	1330	1370	400	1390	591	802	515		Tester_0026	2023_11_18	2.5	Crash2.5	1	N95	H
2.9	884.6	3M Aura 9210+	1020	858	823	1130	824	795	1140	1030	830	715	697	1040		Tester_0026	2023_12_07	2.5	Crash2.5	1		H
2.8	595.4	3M Aura 9210+	740	540	536	620	770	615	682	464	431	577	859	585	Same Aura as Line 2 above	Tester_0026	2023_12_02	2.5	Crash2.5	1	N95	H
