Knockdown (Log10 of M41 HMFF/N99mode HMFF)	HMFF	Model	exer 01	exer 02	exer 03	exer 04	exer 05	exer 06	exer 07	exer 08	exer 09	exer 10	exer 11	exer 12	Notes	Tester	Test Date	MJA(cm) Max Jaw Amplitude	DeclaredProtocol	Acode	NON-3NF - LegacyCerts	NON-3NF - AttachmentType (non normalized, this should go in model table)
0.5	3	Baggy blue Maxima by Henry Schein 570-2042	4	3.9	2.3	3.8	4.8	5.3	3.9	2.7	2.1	2.2	2.3	2.5		Tester_0026	2023_12_02	2.5	Crash2.5	1		E
0.5	2.9	Baggy blue Maxima by Henry Schein 570-2042	3.1	2.8	3.8	2.7	3	2.5	2.9	2.9	2.9	2.7	2.9	3.6		Tester_0026	2023_12_07	2.5	Crash2.5	1		E
0.6	4.3	Baggy blue Maxima by Henry Schein 570-2042	3.3	4	4.4	5	3.9	4.5	4.5	3.7	4.3	6.2	4	5.4		Tester_0026	2023_11_18	2.5	Crash2.5	1		E
0.8	6.5	Benehal N95 Vertical Bifold - TC-84A-7447	6.8	7.9	8.6	6.7	5.8	18	6.3	7.6	7.4	6.9	3.2	5.1		Tester_FTTP_AM	2023_01_12		CrashUM	1	N95	H
0.4	2.3	Benehal N95 Vertical Bifold - TC-84A-7447	9.7	7.7	4.5	2.6	3.2	2.1	1.9	2	1.9	1.7	1.6	1.4		Tester_FTTP_AM	2023_07_22	2.5	Crash2.5	1	N95	H
0.3	2	Benehal N95 Vertical Bifold - TC-84A-7447	4.2	3.8	3.4	4.3	2.1	1.5	1.8	1.7	1.6	1.9	1.3	1.3		Tester_FTTP_AM	2023_07_22	2.5	Crash2.5	1	N95	H
1.3	22.4	BLOX 9501	26	16	53	33	27	13	20	42	93	18	31	10		Tester_FTTP_AM	2023_04_25		Crash	1	N95	H
1.1	11.8	BLOX 9501	86	29	5.3	13	7.7	12	15	16	11	13	7.6	16		Tester_FTTP_AM	2023_04_28		Crash	1	N95	H
0.7	4.8	Blue Bon KF94	44	14	4.6	3.4	8	2.2	4.1	9	2.9	3.8	9.2	3.8		Tester_CA	2023_06_23			1	KF94	E
0.8	6.3	Bluna Facefit KF94	6.8	5.9	10	4.6										Tester_CA_4F_K	2023_06_01		CrashUMshort	1	KF94	E
0.9	7.9	Bluna Facefit KF94	20	14	7.8	3.9									Adjustable earloops	Tester_CA_4M	2023_05_22		CrashUMshort	1	KF94	E
0.9	7.8	Bluna Facefit KF94	13	14	6	5									truncated, see extended tests	Tester_CA_4M	2023_06_08		CrashUMshort	1	KF94	E
0.4	2.5	Bluna Facefit KF94	2.1	2.3	2.5	2.9	2	3.4	2.6	2.4	2.5	2.4	2.4	3		Tester_FTTP_AM	2023_04_07		Crash	1	KF94	E
0.4	2.3	Bluna Facefit KF94	2.4	2.3	2.7	2.1	2.1	2	2.3	3.1	2.4	2.1	2.3	2		Tester_FTTP_AM	2023_04_07		Crash	1	KF94	E
1.4	23.3	Bluna Facefit KF94	40	6.7	63	40	23	39	33	16	27	29	28	33	Noticeable exhalation leakage	Tester_LP_AF	2023_08_25	2.5	Crash2.5	1	KF94	E
1	8.9	Bluna Facefit KF94	104	44	28	22	10	8	9.3	10	11	14	3.3	3	Noticeable exhalation leakage	Tester_LP_AF	2023_08_25	2.5	Crash2.5	1	KF94	E
2.3	199.6	BNX F95B N95	213	178	182	186	192	133	270	242	246	199	241	195		Tester_0026	2023_12_02	2.5	Crash2.5	1	N95	H
2.2	160.2	BNX F95B N95	111	138	134	146	136	164	216	179	239	202	155	197		Tester_0026	2023_11_18	2.5	Crash2.5	1	N95	H
2.2	151.5	BNX F95B N95	143	167	163	138	149	129	147	163	147	179	157	149		Tester_0026	2023_12_02	2.5	Crash2.5	1	N95	H
2.2	147.8	BNX F95B N95	179	183	177	176	139	161	146	121	182	158	138	89		Tester_0026	2023_11_18	2.5	Crash2.5	1	N95	H
2.2	147.8	BNX F95B N95	179	183	177	176	139	161	146	121	182	158	138	89		Tester_0026	2023_11_18	2.5	Crash2.5	1	N95	H
1.8	61	BNX F95B N95	70	69	38	69	79	56	53	84	62	55	66	61		Tester_0026	2023_11_17	2.5	Crash2.5	1	N95	H
1.7	53.4	BNX F95B N95	49	39	49	50	60	60	70	59	67	53	58	44		Tester_0026	2023_11_17	2.5	Crash2.5	1	N95	H
0.9	7.8	BNX F95B N95	76	10	7.7	8.7	8.2	7.1	8.9	6.3	6.5	6.5	5.8	6.1		Tester_FTTP_AM	2023_07_19	2.5	Crash2.5	1	N95	H
0.8	6.6	BNX F95B N95	23	6.2	7	8	6.1	7.1	7.6	6.4	5.9	3.9	6.2	6.3		Tester_FTTP_AM	2023_07_19	2.5	Crash2.5	1	N95	H
0.8	6.5	BNX F95B N95	36	11	7.5	4.9	5.1	5.3	5.1	4.7	6.6	8.1	8.6	4.9	amb	Tester_FTTP_AM	2023_03_24		Crash	1	N95	H
0.7	5.5	BNX F95B N95	95	8	5.5	7.2	6.9	4.8	4.5	4.2	4.9	5.9	4	3.4		Tester_FTTP_AM	2023_07_19	2.5	Crash2.5	1	N95	H
0.7	4.8	BNX F95B N95	72	12	9	8.6	6.8	3.9	3.1	3.6	4.1	4.1	5.1	2.1		Tester_FTTP_AM	2023_07_19	2.5	Crash2.5	1	N95	H
0.6	3.6	BNX F95B N95	44	7.5	6.9	6.3	5.5	5.6	3.9	3.5	3.5	3.4	1.5	1.3		Tester_FTTP_AM	2023_07_19	4	Crash4	1	N95	H
0.5	3.1	BNX F95B N95	98	12	7.8	6.4	3.9	2.7	2.8	2.7	1.8	2.3	2.8	1.2		Tester_FTTP_AM	2023_07_19	2.5	Crash2.5	1	N95	H
0.3	1.8	BNX F95B N95	36	5	3.5	2.7	2.4	1.8	2.8	1.4	1.1	1.1	1.2	1.1		Tester_FTTP_AM	2023_07_19	4	Crash4	1	N95	H
0.2	1.6	BNX F95B N95	68	3.9	3.2	2.6	1.8	1.3	1.4	1.2	1.1	1.1	1.1	1.2		Tester_FTTP_AM	2023_07_19	4	Crash4	1	N95	H
0.2	1.6	BNX F95B N95	75	4.5	3.2	3.5	1.3	1.2	1.2	1.2	1.1	1.1	1.1	1.1		Tester_FTTP_AM	2023_07_19	4	Crash4	1	N95	H
1.4	24.1	BNX F95B N95	44	40	38	49	47	9.7	16	20					OSHA 8-test	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	N95	H
0.5	3.4	BNX F95B N95	36	4.6	4.8	3	4.3	3.4	3.7	2.6	2	2.5	2.6				2023_07_31		Crash	1	N95	H
1.9	75.5	BNX F95W N95	151	60	76	93	60	90	99	44	140	132	54	56		Tester_FTTP_AM	2023_08_14	2.5	Crash2.5	1	N95	H
0.7	4.6	BNX F95W N95	46	17	10	12	9.2	4.4	5.6	7.1	6.8	4.7	1.6	1.4		Tester_FTTP_AM	2023_07_28	2.5	Crash2.5	1	N95	H
0.4	2.3	BNX F95W N95	22	5.5	4.2	4.3	3.5	2.1	2.1	1.7	1.5	1.5	1.4	1.8		Tester_FTTP_AM	2023_07_28	2.5	Crash2.5	1	N95	H
0.7	5.5	BNX H95B N95	6	5.4	4.9	5.5	5.9	5.3	4.5	5.8	4	4.3	19	7		Tester_FTTP_AM	2023_01_11		CrashUM	1	N95	H
0.6	3.7	BNX H95B N95	11	5.4	3.3	4.6	4.5	3.8	2.9	3.3	2.9	2.8	3			Tester_FTTP_AM	2023_07_21	2.5	Crash2.5	1	N95	H
0.6	3.6	BNX H95B N95	6.4	4	3.9	3.7	3.8	3.2	4	3.4	2.6	2.7	4.3	3.7		Tester_FTTP_AM	2023_04_10		Crash	1	N95	H
0.5	3.3	BNX H95B N95	4.3	3.4	3.2	3.7	3.9	2.9	3.3	3	2.8	2.4	4.3	3.3		Tester_FTTP_AM	2023_08_03	2.5	Crash2.5	1	N95	H
0.5	2.9	BNX H95B N95	23	3.6	3.2	3	2.1	2.5	2.5	2.8	2.2	2.4	3	3	candles 1E6	Tester_FTTP_AM	2023_03_17		Crash	1	N95	H
0.4	2.7	BNX H95B N95	3.7	2.7	2.8	4.4	3.9	3.1	2.8	2	1.9	2.2	2.8	2		Tester_FTTP_AM	2023_01_13		CrashUM	1	N95	H
0.4	2.5	BNX H95B N95	5.7	3.7	3.5	3.4	2.6	3	2.7	1.9	2	2.7	1.5	1.5		Tester_FTTP_AM	2023_08_03	2.5	Crash2.5	1	N95	H
0.8	5.7	BNX H95B N95	9.4	21	3.4	6.8	8.7	4.3	3.8	4.9					OSHA 8-test	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	N95	H
0.6	4.2	BNX H95W N95	5.8	6	3.2	5.6	4.7	2.9	4.1	4	3.5	4.7	4.2	3.9		Tester_FTTP_AM	2023_04_14		Crash	1	N95	H
0.6	3.8	BNX H95W N95	7	4.8	4.6	2.8	3.2	2.7	3.2	4.1	6	3.5	3.5	3.4		Tester_FTTP_AM	2023_04_14		Crash	1	N95	H
0.5	2.9	BNX H95W N95	2.3	3.9	3.2	2.6	2.3	2.8	3.7	3.8	3.1	2.7	2.5	2.6		Tester_FTTP_AM	2023_04_01		Crash	1	N95	H
0.9	8.5	Breatheteq BR95 small non medical kn95	32	26	10	10	7.8	14	11	8.4	6.2	7.3	5.3	4.1		Tester_FTTP_AF	2023_04_07			1	KN95	E
0.7	4.8	Breatheteq BR95 small non medical kn95	51	3.9	3	3	6.4	6.6							interrupted	Tester_FTTP_AM	2023_09_13	2.5	Crash2.5	1	KN95	E
0.7	4.6	Breatheteq BR95 small non medical kn95	16	7	7.1	4.6	5.1	6.1	3.1	3.4	3.2	4.6	3.2	4.2		Tester_FTTP_AM	2023_04_06		Crash	1	KN95	E
0.6	4	Breatheteq BR95 small non medical kn95	25	64	29	4	2.8	3.5	2.4	3	3.3	3.1	2.4	5.1		Tester_FTTP_AM	2023_04_06		Crash	1	KN95	E
0.6	3.8	Breatheteq BR95 small non medical kn95	12	6.6	4.6	3.7	3.7	3.2	2.3	3.4	3	4.1	3.7	4.1		Tester_FTTP_AM	2023_06_16		Crash	1	KN95	E
2.4	273.4	Breatheteq BR95 small non medical kn95	312	241	411	374	318	312	384	335	163	335	205	182		Tester_0026	2023_12_15	2.5	Crash2.5			
2.4	252.2	Breatheteq BR95 small non medical kn95	319	329	332	445	362	325	212	138	194	188	217	306		Tester_0026	2023_12_15	2.5	Crash2.5			
1	9.7	Breatheteq BR95 small non medical kn95	23	25	31	41	34	1.9	13	18						Tester_0029	2023_12_17		OSHA+grimace			
0.6	3.8	Breatheteq BR95 small non medical kn95	10	5.1	9.2	4.8	11	4.3	3	3.5	2.5	2.7	2.7	2.2		Tester_0029	2023_12_17	2.5	Crash2.5			
0.6	4	Breatheteq BR95 small non medical kn95	6.8	3.7	4.2	3.6	8	3.5	3.7	3.6	3.3	2.8	7.2	3.6		Tester_0029	2023_12_17	2.5	Crash2.5			
1.1	12.2	BYD DE-2322	24	17	7.5	11	12	36	10	9.5	13	13	9.6	12	ex 7 - private pyle what are trying to do to my beloved Corps	Tester_FTTP_AM	2023_02_07		Crash	1	N95	H
1	9.4	BYD DE-2322	15	10	10	5.6	4.8	6	6.8	14	22	10	21	22		Tester_FTTP_AM			CrashUM	1	N95	H
0.9	8.8	BYD DE-2322	26	14	4.8	7.6	7.1	7.7	7.8	7.2	10	9.9	14	9.1	amb	Tester_FTTP_AM	2023_03_24		Crash	1	N95	H
1.3	20.4	BYD DE-2322	39	22	49	56	17	16	14	15	17	15	16	31	Re-form wire	Tester_NOMS_AM	2023_08_31	2	CrashFTTP-like, improvised spacers	1	N95	H
5.9	877535.6	calibration check - Eta Filters Zero Count Filter HC01-5N-C1 (Aerocolloid LLC)	999000	999000	999000	999000	420000	999000	999000	999000	999000	999000	779000	999000		Tester_Toba	2023_06_13			3		
4.9	73383.4	calibration check - ETA Filters Zerocheck filter, ambient	41700	36800	73800	54300	76600	66300	90300	67500	66500	143000	314000	861000		Tester_FTTP_AM	2023_06_14		Crash	3		
5.8	706854.6	calibration check - ETA Filters Zerocheck filter, candle 30K	446000	999000	999000											Tester_FTTP_AM	2023_06_14		Crash	3		
5.1	128207.7	calibration check - ETA Filters Zerocheck filter, water vapor 20K	663000	999000	999000	999000	999000	565000	116000	39300	64800	60000	99300	99200		Tester_FTTP_AM	2023_06_14		Crash	3		
5.3	221530.2	calibration check - Zero Check filter	322000	390000	131000	372000	404000	414000	399000	122000	93400	138000	438000	426000		Tester_Toba	2023_05_21			3		
5.8	597418.5	calibration check - Zero Check filter from 2021, ambient 6000	564000	579000	602000	617000	630000									Tester_FTTP_AM	2023_07_24			3		
5.8	589329.8	calibration check - Zero Check filter from 2021, ambient 6000	605000	617000	607000	578000	553000	554000	580000	598000	612000	616000	593000	569000		Tester_FTTP_AM	2023_07_24	n/a		3		
6	999000	calibration check - Zero Check from 2021, water vapor 10K	999000	999000	999000	999000										Tester_FTTP_AM	2023_07_24			3		
0.5	3.2	Cambridge Mask - small	4.1	4.3	4.7	5	2.3	2.2	2.3	2.4	3.5	3.6	4.9	2.7		Tester_FTTP_AF	2023_04_28			1		E
0.5	2.8	Cambridge Mask - small	4.2	3	2	2.5	3.1	2.8	2.9	3	2.9	3.2	2.8	2.7		Tester_FTTP_AF	2023_04_28			1		E
1	10.6	Cambridge Pro S NV	24	22	8	6									Double ported	Tester_CA_4M	2023_06_15		CrashUMshort	1		E
0.5	3.1	CanadaMasq Q100 Large CA-N95F-100PA	58	13	3.5	3.5	1.9	3	4.1	2.3	2.4	2.4	2.2	2.5		Tester_FTTP_AM	2023_09_03	2.5	Crash2.5	1		E
0.7	5	CanadaMasq Q100 Medium CA-N95F-100PA	59	9	47	27	2.3	21	25	3	3.3	2.6	2.3	4.2	candles 20K	Tester_FTTP_AF	2023_09_06	2.5	Crash2.5	1		E
0.7	4.5	CanadaMasq Q100 Medium CA-N95F-100PA	176	9.4	6.6	7.7	6.2	2.5	2.8	2.6	5.4	5.7	3.6	3.2		Tester_FTTP_AM	2023_09_06	2.5	Crash2.5	1		E
0.6	4	CanadaMasq Q100 Medium CA-N95F-100PA	280	3.2	3.7	4	2.6	3	2.5	2.8	5.9	6	7.2	4.8		Tester_FTTP_AM	2023_09_06	2.5	Crash2.5	1		E
0.4	2.3	CanadaMasq Q100 Small CA-N95F-100PA	2.2	2.5	2	2.1	2.4	2.6	2.4	2.6	2.4	2.4	2.1	2.6		Tester_0022_AF	2023_10_23	2.5	Crash2.5	1		E
0.5	3.3	CanadaMasq Q100 Small CA-N95F-100PA	101	16	6.2	7.1	3.1	2.8	2.8	3.2	2.3	2	1.7	2.4		Tester_FTTP_AM	2023_09_03	2.5	Crash2.5	1		E
0.4	2.7	CanadaMasq Q100 Small CA-N95F-100PA	54	7	3.2	3	2.4	2.6	2.4	1.9	2.2	2.1	2	2.3		Tester_FTTP_AM	2023_09_03	2.5	Crash2.5	1		E
1.7	55.1	Canadamasq Q100 XS_P CA-N95F-100PA	51	47	35	64	66	52	94	62	112	25	136	66		Tester_0022_AF	2023_10_23	2.5	Crash2.5	1		E
0.7	4.8	Canadamasq Q100 XS_P CA-N95F-100PA	219	12	7.4	6.7	3.6	3.5	3.4	4.3	3.1	4	4.2	4.5	no repeat, painful on ears	Tester_FTTP_AM	2023_09_06	2.5	Crash2.5	1		E
0.3	2.2	CastleGrade G7	2.7	2.2	2	2.1										Tester_FTTP_AM	2023_01_13		CrashUM	1		H
1.7	45.9	Champak PC520L	60	58	65	90	68	61	67	78	49	31	19	27	mumbling	Tester_FTTP_AF	2023_03_14			1	N95	H
1.6	41	Champak PC520L	51	67	34	33	62	22	36	49	59	28	54	58	regular speech	Tester_FTTP_AF	2023_03_14			1	N95	H
1.3	19.5	Champak PC520L	27	25	16	28	42	17	14	15	15	27	18	17	water vapor 6E5	Tester_FTTP_AM	2023_03_14		Crash	1	N95	H
1.3	19.1	Champak PC520L	96	50	18	9.4	23	19	36	17	10	16	20	25	ambient	Tester_FTTP_AM	2023_03_13		Crash	1	N95	H
1	10.9	Champak PC520M	16	27	15	8	9.2	11	8.2	7.4	9	8.4	13	22		Tester_FTTP_AM	2023_05_05		Crash	1	N95	H
5.9	760447.9	CHEM only - MAMTAK native (NONRECHARGEABLE) series 01	767000	833000	525000	789000	999000	821000	999000	999000	999000	498000	999000	534000	HM OVER LIMIT, see distribution	n/a no human	2023_08_09			2		PAPR
5.4	276867.4	CHEM only - MAMTAK native (NONRECHARGEABLE) series 02	42900	651000	999000	424000	418000	638000	563000	435000	999000	543000	375000	628000		n/a no human	2023_08_11			2		PAPR
5.7	477811.2	CHEM only - MAMTAK native (NONRECHARGEABLE) series 03	632000	527000	999000	412000	365000	489000	462000	442000	908000	230000	724000	462000		n/a no human	2023_08_12			2		PAPR
5.8	681844.7	CHEM only - MAMTAK native (NONRECHARGEABLE) series 04	999000	390000	801000	876000	986000	417000	950000	490000	999000	999000	837000	515000		n/a no human	2023_08_12			2		PAPR
5.9	829628.9	CHEM only - MAMTAK native (NONRECHARGEABLE) series 05	488000	999000	857000	999000	999000	999000	999000	999000	999000	492000	828000	999000		n/a no human	2023_08_12			2		PAPR
1	10.6	DetmoldD95_X-Large	54	14	19	10	8.5	9.8	6.7	11	15	12	7.5	6.9	water vapor 6E5	Tester_FTTP_AM	2023_03_14		Crash	1		SingleHeadbandEarsaver
1	9.1	DetmoldD95_X-Large	40	17	6.8	7.1	4	8.1	12	15	14	6.7	10	10	water vapor 6E5	Tester_FTTP_AM	2023_03_14		Crash	1		SingleHeadbandEarsaver
1.1	12.3	Dr. Puri KF94 L	55	29	43	38	25	26	36	15	5.3	3.8	15	5.5		Tester_CA	2023_06_21			1	KF94	E
1.9	77.3	Drager 1730C	961	114	1279	989	357	1122	91	14	42	63	75	217	CrashUM Pass 1	Tester_0027	2023_11_18		CrashUM	1		
2.7	485	Drager 1730C	1997	352	1634	1158	198	280	234	348	386	1351	2824	2123	CrashUM Pass 2	Tester_0027	2023_11_18		CrashUM	1		
2.6	437.4	Drager 1730C	321	568	506	363	279	581	642	279	431	664	419	856	CrashUM Pass 1. Results unusual in that the mask slid significantly on tester's skin, but apparently w/o breaking seal. Very wide face, therefore plenty of surface area which the Aura was still resting on.	Tester_0027	2023_11_18		CrashUM	1		
1.2	17.2	Drager1750	13	9.4	93	20	18	14	17	13	20	40	23	14	amb	Tester_FTTP_AM	2023_03_24		Crash	1	N95	H
1.2	15.3	Drager1750	5.2	46	21	32	85	10	19	10	8.8	21	20	56		Tester_FTTP_AM			CrashUM	1	N95	H
0.5	2.9	Drager1920ML_Drager1950ML	7.9	4	3.6	2.5	2.3	3.4	4.1	2.6	3.2	2.9	1.8	1.9	Note: this is what happens when I don’t put both straps over the crown!	Tester_0020_AF	2023_10_29			1	N95	H
1.2	17.7	Drager1920ML_Drager1950ML	91	14	28	15	38	7.8	6.9	14	21	21	57	117		Tester_FTTP_AF			CrashUM	1	N95	H
2.2	168.1	Drager1920ML_Drager1950ML	153	188	177	117	138	171	191	195	372	159	125	205		Tester_FTTP_AM			CrashUM	1	N95	H
2.7	551.1	Drager1920ML_Drager1950ML	570	458	652	705	461	683	786	430	624	611	377	567		Tester_NOMS_AM	2023_07_23	2	CrashFTTP-like, improvised spacers	1	N95	H
2.7	456.8	Drager1920ML_Drager1950ML	574	326	786	585	367	562	620	266	477	507	341	624		Tester_NOMS_AM	2023_08_06	2	CrashFTTP-like, improvised spacers	1	N95	H
2.6	421.8	Drager1920ML_Drager1950ML	264	346	610	507	363	426	575	354	401	624	396	534		Tester_NOMS_AM	2023_07_18	2	CrashFTTP-like, improvised spacers	1	N95	H
2.6	403.2	Drager1920ML_Drager1950ML	276	273	579	514	350	535	365	441	685	482	272	539		Tester_NOMS_AM	2023_06_24	Unknown	CrashUM	1	N95	H
2.9	746.6	Drager1920small	557	770	713	751	1020	750	828	707	681	816	763	767		Tester_0024_AM	2023_10_31	2.5	Crash2.5	1	FFP2	H
2.8	674.9	Drager1920small	661	684	673	706	524	876	750	550	491	807	828	821		Tester_0024_AM	2023_10_31	2.5	Crash2.5	1	FFP2	H
2.4	226.2	Drager1920small	508	497	155	153	328	150	206	171	222	238	289	286		Tester_FTTP_AF	2022_11_25		CrashUM	1	FFP2	H
2	105.5	Drager1920small	138	110	83	44	194	113	162	154	144	118	110	87		Tester_FTTP_AF			CrashUM	1	FFP2	H
2.6	360.8	Drager1920small	179	237	181	270	425	374	578	1000	737	423	1290	506		Tester_FTTP_AM	2023_01_23		Crash	1	FFP2	H
2.5	298.9	Drager1920small	369	422	319	187	316								Canadian  smoke as ambient	Tester_FTTP_AM	2023_06_07		Crash	1	FFP2	H
2.5	298.2	Drager1920small	246	247	631	492	115	266	754	215	508	539	476	241		Tester_FTTP_AM	2022_11_17		CrashUM	1	FFP2	H
2.4	267.7	Drager1920small	592	156	1040	235	568	220	1290	255	104	1120	187	215		Tester_FTTP_AM	2023_06_28	2	Crash2	1	FFP2	H
2.4	265.8	Drager1920small	144	417	460	153	344	243	459	193	600	413	253	214		Tester_FTTP_AM	2022_11_25		CrashUM	1	FFP2	H
2.4	226.2	Drager1920small	240	227	302	315	260	278	328	327	324	97	427	115	ambient	Tester_FTTP_AM	2023_03_10		Crash	1	FFP2	H
2.3	210.1	Drager1920small	231	309	176	199	225	105	210	241	238	257	240	269	gum front teeth chew	Tester_FTTP_AM	2023_07_21			1	FFP2	H
2.3	200.2	Drager1920small	100	147	252	294	85	271	213	295	314	362	282	364		Tester_FTTP_AM	2022_11_19		CrashUM	1	FFP2	H
2.3	194.8	Drager1920small	245	126	168	163	227	241	176	271	188	235	212	189	6 hrs detached nose foam	Tester_FTTP_AM			CrashUM	1	FFP2	H
2.3	187.5	Drager1920small	321	294	103	222	230	150	218	93	157	220	252	493		Tester_FTTP_AM	2022_11_16		CrashUM	1	FFP2	H
2.2	163.4	Drager1920small	265	136	510	209	72	250	235	114	236	173	119	160		Tester_FTTP_AM			CrashUM	1	FFP2	H
2.2	160.9	Drager1920small	1280	159	774	223	1000	280	1440	83	86	87	116	79		Tester_FTTP_AM	2023_06_28	2	Crash2	1	FFP2	H
2.1	131	Drager1920small	145	267	121	168	99	138	134	146	159	77	109	150	4 hours used	Tester_FTTP_AM	2023_06_03		Crash	1	FFP2	H
2.1	130.8	Drager1920small	462	301	339	64	556	66	352	78	438	67	372	66	ex2 - 2 reps 30mm, ex3 - rest, ex4 - 2 reps 30mm, ex5 rest, ex6 2 reps 30mm, ex7 rest, ex8 2 reps 30mm, ex9 rest, ex10 2 reps 30mm, ex11 rest, ex12 2 reps 30mm	Tester_FTTP_AM	2023_06_28	3	Crash3	1	FFP2	H
2.1	126.3	Drager1920small	148	122	75	107	129	138	139	84	218	166	272	111	4 hours used	Tester_FTTP_AM	2023_06_03		Crash	1	FFP2	H
2.1	113.6	Drager1920small	141	160	90	99	124	88	126	80	118	167	126		ambient	Tester_FTTP_AM	2023_01_23		Crash	1	FFP2	H
1.9	85.2	Drager1920small	66	61	84	64	93	77	76	102	132	156	147	70	2 days use	Tester_FTTP_AM	2023_02_10		Crash	1	FFP2	H
1.9	82.6	Drager1920small	83	67	70	75	68	51	114	101	91	82	126	152	2 days use	Tester_FTTP_AM	2023_02_10		Crash	1	FFP2	H
1.8	70.7	Drager1920small	688	55	405	125	600	76	199	37	196	37	34	32	ex2 - 2 reps 30mm, ex3 - rest, ex4 - 2 reps 30mm, ex5 rest, ex6 2 reps 30mm, ex7 rest, ex8 2 reps 30mm, ex9 rest, ex10 2 reps 30mm, ex11 rest, ex12 2 reps 30mm	Tester_FTTP_AM	2023_06_28	3	Crash3	1	FFP2	H
1.8	67.9	Drager1920small	56	80	72	85	88	67	68	109	38					Tester_FTTP_AM	2022_11_16		CrashUM	1	FFP2	H
1.8	65.8	Drager1920small	537	73	477	79	172	39	58	60	45	40	60	44		Tester_FTTP_AM	2023_06_28	3	Crash3	1	FFP2	H
1.6	35.7	Drager1920small	586	75	589	42	60	27	43	19	43	20	33	16	SERVICE LIGHT - ex2 - 2 reps 30mm, ex3 - rest, ex4 - 2 reps 30mm, ex5 rest, ex6 2 reps 30mm, ex7 rest, ex8 2 reps 30mm, ex9 rest, ex10 2 reps 30mm, ex11 rest, ex12 2 reps 30mm	Tester_FTTP_AM	2023_06_28	3	Crash3	1	FFP2	H
2.8	629	Drager1920small	1970	449	7500	1380	283	267	928	1300					OSHA plus grimace	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	FFP2	H
2.4	273.5	Drager1920small	657	283	748	76	243	449	524	692					OSHA plus grimace	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	FFP2	H
2.4	252.8	Drager1920small	266	244	257	384	127	166	502	715					OSHA plus grimace	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	FFP2	H
2.4	246.2	Drager1920small	1110	232	92	183	232	370	495	521					OSHA plus grimace	Tester_JG97_AF	2023_07_14		OSHA plus grimace	1	FFP2	H
3	1040.5	Drager1920small	881	703	1540	1150	667	1660	1110	1640					OSHA plus grimace	Tester_JG97_AM	2023_07_14		OSHA plus grimace	1	FFP2	H
2.8	699.8	Drager1920small	755	748	1350	1320	289	657	724	1100					OSHA plus grimace	Tester_JG97_AM	2023_07_14		OSHA plus grimace	1	FFP2	H
2.7	507.8	Drager1920small	636	828	1240	1170	129	905	868	767						Tester_LP_AF	2023_08_25		OSHA plus grimace	1	FFP2	H
2.7	466.4	Drager1920small	426	305	398	872	229	787	667	1370						Tester_LP_AF	2023_08_25		OSHA plus grimace	1	FFP2	H
2.5	353.3	Drager1920small	338	281	305	331	321	347	613	358	344	381	413	360		Tester_LP_AF	2023_08_25	2.5	Crash2.5	1	FFP2	H
2.5	324.4	Drager1920small	846	299	703	608	845	1200	547	308	1190	918	52	873	Higher scores when lower on nose	Tester_LP_AF	2023_08_25	4	Crash4.0	1	FFP2	H
2.3	214.7	Drager1920small	465	225	193	175	212	165	231	189	231	218	244	200		Tester_LP_AF	2023_08_25	2.5	Crash2.5	1	FFP2	H
2.4	234.5	Drager1920small	322	182	336	290	327	342	325	299	101	158	327	224		Tester_LP_AM	2023_08_25	2.5	Crash2.5	1	FFP2	H
2.2	173.5	Drager1920small	240	219	346	375	413	185	65	367	340	73	387	103	Low scores all speaking or reading	Tester_LP_AM	2023_08_25	2.5	Crash2.5	1	FFP2	H
2	111.8	Drager1920small	211	117	143	198	57	112	130	83						Tester_LP_AM	2023_08_25		OSHA plus grimace	1	FFP2	H
2.6	433	Drager1920small	434	406	427	596	477	360	691	260	389	576	450	448		Tester_NOMS_AM	2023_07_23	2	CrashFTTP-like, improvised spacers	1	FFP2	H
2.6	407.5	Drager1920small	569	253	813	634	229	578	891	219	880	925	198	532		Tester_NOMS_AM	2023_08_06	2	CrashFTTP-like, improvised spacers	1	FFP2	H
2.6	361.8	Drager1920small	536	143	535	789	215	628	310	324	851	640	258	500		Tester_NOMS_AM	2023_06_24	Unknown	CrashUM	1	FFP2	H
2.6	360	Drager1920small	334	310	265	538	276	696	537	274	445	366	327	348		Tester_NOMS_AM	2023_07_18	2	CrashFTTP-like, improvised spacers	1	FFP2	H
2.4	253.6	Drager1920small, extended torture test 01	193	203	220	417	434	337	378	338	175	259	200	208		Tester_FTTP_AM	2023_05_08		Crash	2	FFP2	H
2.3	215.4	Drager1920small, extended torture test 02	441	238	465	377	123	247	416	297	103	303	90	423	5 - yelling	Tester_FTTP_AM	2023_05_08		Crash	2	FFP2	H
2.4	269.6	Drager1920small, extended torture test 03	105	220	447	377	337	265	489	167	416	250	545	394		Tester_FTTP_AM	2023_05_08		Crash	2	FFP2	H
2.3	217.8	Drager1920small, extended torture test 04	152	140	257	172	382	203	201	581	433	343	234	126		Tester_FTTP_AM	2023_05_08		Crash	2	FFP2	H
